#{"t_start": 1732953463.8474665, "env_id": null}
r,l,t,level
-28427.445673,65509,12113.202931,1
-313.065865,6119,12533.062626,1
178.047596,2672,12717.310298,1
748.534615,12726,13818.190685,1
1256.562981,9033,14603.822784,1
1409.289423,7811,15309.812067,1
-1448.897596,9089,16537.56024,1
156.670192,1282,16680.514751,1
201.016827,880,16803.304026,1
211.009615,1410,16985.378015,1
158.097596,1004,17104.572731,1
210.810577,1323,17269.526787,1
1512.523558,8422,18438.174358,1
2151.435577,9623,20234.364542,1
272.303846,1301,20400.178123,1
2497.560096,18910,25639.243152,1
210.166827,811,25737.018201,1
124.189904,1435,25921.830613,1
1409.1375,6303,26793.080452,1
1505.434615,6317,27691.021412,1
1663.014423,5420,28452.880159,1
810.604327,4901,29109.467089,1
-71.379327,3428,29521.426819,1
210.575481,801,29618.439684,1
224.862981,1290,29786.142664,1
161.058654,1031,29895.934864,1
233.799038,1036,30028.127265,1
1829.988462,5793,30840.367522,1
