#{"t_start": 1732263485.7959785, "env_id": null}
r,l,t,level
-19897.956316,6831,925.705357,1
-523.279786,13272,2494.421359,1
-5583.967947,1588,2681.463373,1
-529.164149,2491,2999.746823,1
-1441.066346,1351,3165.924645,1
-16452.560421,6125,3899.061177,1
-944.752749,1632,4106.555687,1
62.849813,1424,4271.285726,1
725.130164,3499,4686.496064,1
-3602.801747,4873,5265.422425,1
995.147091,4203,5753.867331,1
-13319.265026,14212,7458.507665,1
-6296.319547,2480,7775.864699,1
-1508.249475,4085,8324.436287,1
857.228715,1749,8540.01546,1
-7769.930866,3139,8966.824836,1
364.794495,1834,9185.293128,1
122.897288,1558,9376.121665,1
-594.077841,1736,9588.414675,1
-6466.624455,1825,9819.293383,1
398.343163,1680,10035.572833,1
-731.35441,2076,10299.500186,1
283.863999,3029,10657.181031,1
524.278347,2513,10959.249957,1
584.414597,2429,11252.611242,1
