#{"t_start": 1733481583.691462, "env_id": null}
r,l,t
-21337.031731,20747,6089.960399
-1960.569231,14068,9856.98265
-24006.453846,49693,18402.50098
-30909.150962,10793,20586.162651
-1730.410577,4768,21499.159062
-2502.347115,18049,24534.349813
-2617.693269,34154,30046.250613
-2384.671154,26302,34555.351887
427.730769,1700,34831.244469
193.895192,6216,35858.147224
391.542308,2039,36245.679455
431.75,2595,36749.61719
2644.684615,24007,42300.799278
5655.958654,9832,45171.830167
710.5375,959,45442.007385
