#{"t_start": 1733481328.5134897, "env_id": null}
r,l,t
-11091.389423,22560,5932.772786
-312.381731,9843,8534.673281
743.681731,2399,9167.25831
3295.945192,12283,12528.018496
3356.376923,13102,15099.05187
3999.263462,7774,16303.859037
2263.354808,6149,17319.579701
528.757692,1013,17498.140381
543.716346,985,17676.122644
689.006731,1322,17910.231617
495.457692,941,18074.914166
621.106731,1101,18270.138692
4303.049038,7961,19695.64848
5701.267308,9403,21785.517803
725.1,1134,22041.678273
8472.202885,13596,25895.120114
557.159615,1301,26269.767045
830.722115,1481,26699.892545
3838.770192,5736,28353.819176
3982.572115,5565,29704.772546
4199.653846,4835,30472.147191
2453.846154,3935,31099.411865
563.251923,947,31255.070218
566.570192,768,31379.514899
736.530769,977,31537.30987
512.957692,886,31675.562166
649.884615,1030,31840.278139
4511.118269,4903,32679.851976
5873.826923,7335,34221.022356
719.139423,995,34390.705113
8951.557692,11780,37488.683656
603.195192,683,37662.66517
854.004808,1065,37938.464137
3704.982692,7122,39793.638168
4057.176923,5379,40905.766289
4226.679808,4572,41497.572838
2460.639423,4025,42011.495896
558.608654,888,42124.51961
575.152885,769,42221.832813
721.313462,1081,42359.04887
518.55,837,42464.697151
653.121154,871,42573.38135
4502.502885,5423,43265.995337
5845.0125,7873,44652.743192
737.559615,772,44787.386405
8658.481731,12396,48001.784381
597.429808,702,48182.639107
866.397115,1038,48447.908647
3925.538462,5080,49778.489551
4036.366346,5741,51232.075487
4255.424038,5101,52115.808355
2494.910577,3872,52608.384255
559.844231,928,52708.886385
568.798077,685,52782.193872
746.120192,900,52879.10356
524.318269,776,52961.626672
658.339423,838,53050.210156
4535.597115,5416,53623.910545
